code,descr,status,picref,catalog1,catalog2,price1,price2,price3,price4,buy1,buy2,buy3,buy4,oldprice1,oldprice2,oldprice3,oldprice4,catgDisplayNum,info
6110s16,"1950 UPU (Running Stag)","In Stock",pic.php?ID=6110s16,"C 39-40","S 31-32",77.50,3.50,1.62,1.50,cart2.php?Action=Add&Prod=6110s16&Which=Price,cart2.php?Action=Add&Prod=6110s16&Which=PriceFDC,cart2.php?Action=Add&Prod=6110s16&Which=PriceUsed,cart2.php?Action=Add&Prod=6110s16&Which=PriceSpec,,,,,2,
6110s18,"1950 2nd Independence (Ships)","In Stock",pic.php?ID=6110s18,"C 41,42","S 33,34",500.00,7.00,8.20,11.00,cart2.php?Action=Add&Prod=6110s18&Which=Price,cart2.php?Action=Add&Prod=6110s18&Which=PriceFDC,cart2.php?Action=Add&Prod=6110s18&Which=PriceUsed,cart2.php?Action=Add&Prod=6110s18&Which=PriceSpec,,,,,2,
6110s19,"1950 University","In Stock",pic.php?ID=6110s19,"C 43","S 23",23.00,3.75,0.26,0.25,cart2.php?Action=Add&Prod=6110s19&Which=Price,cart2.php?Action=Add&Prod=6110s19&Which=PriceFDC,cart2.php?Action=Add&Prod=6110s19&Which=PriceUsed,cart2.php?Action=Add&Prod=6110s19&Which=PriceSpec,,,,,2,
6110s20,"1950 Air Mail (Birds 6)","In Stock",pic.php?ID=6110s20,"C 44-49","S C1-C6",225.00,29.00,14.00,15.00,cart2.php?Action=Add&Prod=6110s20&Which=Price,cart2.php?Action=Add&Prod=6110s20&Which=PriceFDC,cart2.php?Action=Add&Prod=6110s20&Which=PriceUsed,cart2.php?Action=Add&Prod=6110s20&Which=PriceSpec,,,,,2,
6110s21,"1950 Festivals 5711 (Four Species)","In Stock",pic.php?ID=6110s21,"C 50,51","S 35,36",45.00,1.38,0.52,0.45,cart2.php?Action=Add&Prod=6110s21&Which=Price,cart2.php?Action=Add&Prod=6110s21&Which=PriceFDC,cart2.php?Action=Add&Prod=6110s21&Which=PriceUsed,cart2.php?Action=Add&Prod=6110s21&Which=PriceSpec,,,,,2,
6110s22,"1950 3rd Maccabiah","In Stock",pic.php?ID=6110s22,"C 52","S 37",70.00,2.63,1.30,1.50,cart2.php?Action=Add&Prod=6110s22&Which=Price,cart2.php?Action=Add&Prod=6110s22&Which=PriceFDC,cart2.php?Action=Add&Prod=6110s22&Which=PriceUsed,cart2.php?Action=Add&Prod=6110s22&Which=PriceSpec,,,,,2,
6110s23,"1950 Coins (6)","In Stock",pic.php?ID=6110s23,"C 53-58","S 38-43",2.10,125.00,0.39,0.33,cart2.php?Action=Add&Prod=6110s23&Which=Price,cart2.php?Action=Add&Prod=6110s23&Which=PriceFDC,cart2.php?Action=Add&Prod=6110s23&Which=PriceUsed,cart2.php?Action=Add&Prod=6110s23&Which=PriceSpec,,,,,2,
6110s25,"1950 Negev (Camels)","In Stock",pic.php?ID=6110s25,"C 69","S 25",250.00,15.00,8.20,8.00,cart2.php?Action=Add&Prod=6110s25&Which=Price,cart2.php?Action=Add&Prod=6110s25&Which=PriceFDC,cart2.php?Action=Add&Prod=6110s25&Which=PriceUsed,cart2.php?Action=Add&Prod=6110s25&Which=PriceSpec,,,,,2,
6110s26,"1951 Official stamps (Coins 4)","In Stock",pic.php?ID=6110s26,"C 70-73","S O1-O4",18.80,1.00,0.30,0.22,cart2.php?Action=Add&Prod=6110s26&Which=Price,cart2.php?Action=Add&Prod=6110s26&Which=PriceFDC,cart2.php?Action=Add&Prod=6110s26&Which=PriceUsed,cart2.php?Action=Add&Prod=6110s26&Which=PriceSpec,,,,,2,
6110s27,"1951 Tel-Aviv","In Stock",pic.php?ID=6110s27,"C 74","S 44",22.50,0.55,0.30,0.25,cart2.php?Action=Add&Prod=6110s27&Which=Price,cart2.php?Action=Add&Prod=6110s27&Which=PriceFDC,cart2.php?Action=Add&Prod=6110s27&Which=PriceUsed,cart2.php?Action=Add&Prod=6110s27&Which=PriceSpec,,,,,2,
6110s28,"1951 Independence Bonds","In Stock",pic.php?ID=6110s28,"C 75","S 45",3.00,0.45,0.17,0.12,cart2.php?Action=Add&Prod=6110s28&Which=Price,cart2.php?Action=Add&Prod=6110s28&Which=PriceFDC,cart2.php?Action=Add&Prod=6110s28&Which=PriceUsed,cart2.php?Action=Add&Prod=6110s28&Which=PriceSpec,,,,,2,
6110s29,"1951 3rd Independence (Battles sites)","In Stock",pic.php?ID=6110s29,"C 76,77","S 46,47",42.50,0.70,0.71,0.45,cart2.php?Action=Add&Prod=6110s29&Which=Price,cart2.php?Action=Add&Prod=6110s29&Which=PriceFDC,cart2.php?Action=Add&Prod=6110s29&Which=PriceUsed,cart2.php?Action=Add&Prod=6110s29&Which=PriceSpec,,,,,2,
